scaled_x,scaled_y,scaled_z,U_profile,V_profile,W_profile,P_profile
-0.17220941,-0.03889844,0.95213646,-0.0030069863,9.991421,-8.365861,0.09257738
-0.18565689,0.39862567,0.780426,-0.0028429618,9.994988,-8.36986,0.13315417
-0.3297388,0.25041097,0.6324825,-0.0030575292,9.996362,-8.371006,0.24598542
-0.48054302,0.79271996,0.14749795,-0.0028900066,10.002368,-8.377276,-0.42584136
0.50303805,0.20583202,0.14649153,-0.0030304166,9.995176,-8.369625,0.011398757
0.49218562,0.23438022,0.53420156,-0.0028306758,9.992831,-8.367368,-0.04980625
-0.21160561,0.20947286,0.37982094,-0.0029548323,10.001446,-8.37625,0.20627457
-0.00088754826,0.0145478165,0.3337289,-0.0029098028,9.971194,-8.345766,0.13398321
-0.5664078,0.045832966,0.46186194,-0.0032911887,10.013248,-8.387872,0.2093793
-0.8743934,0.46686238,0.13114187,-0.0023793941,10.00106,-8.376476,-0.40057757
-0.033928208,-0.8332162,0.7189357,-0.0026198039,10.001058,-8.375677,0.05231294
-0.3304361,-0.4750305,0.7654598,-0.0033028806,10.006746,-8.381267,0.24198467
-0.6936084,-0.57003975,0.98769575,-0.0029644305,10.004387,-8.379044,0.43254098
-0.44294253,-0.30934417,0.84212434,-0.0031164782,10.014319,-8.388969,0.29584494
-0.0849193,-0.029527988,0.23131087,-0.0029544001,9.98089,-8.355571,0.19966546
0.560098,0.19656302,0.034269135,-0.0032213787,9.997103,-8.371556,0.039462715
-0.078413874,-0.42939046,0.29879272,-0.0031801844,9.994807,-8.36929,0.06844254
0.715678,-0.20304465,0.90976065,-0.0026150504,10.002316,-8.377085,-0.14119616
0.14099467,0.36654398,0.10339394,-0.0028309906,9.992148,-8.366669,0.026797375
-0.8907771,0.019161904,0.16519448,-0.0027413135,10.002204,-8.377407,-0.34146664
0.46425572,0.56726027,0.737238,-0.003015465,9.99792,-8.372392,-0.032984454
-0.030645637,0.7628145,0.436982,-0.0031148707,10.001646,-8.376132,0.010070914
0.26828387,-0.46412623,0.77384186,-0.0029666713,10.002407,-8.376656,-0.133171
-0.43453833,-0.09524284,0.41786438,-0.0032162247,10.008078,-8.382617,0.3691274
0.13704152,0.040768825,0.92088044,-0.0029296847,9.993097,-8.367567,-0.027657252
-0.4627903,-0.09796134,0.7726504,-0.0029105889,10.008129,-8.382741,0.35496336
0.055619992,-0.32328886,0.42869166,-0.0031539286,9.997616,-8.371963,-0.06687792
0.07675456,-0.23611848,0.27670506,-0.0030148374,9.99276,-8.367293,-0.051659063
0.72763324,-0.30439657,0.3191177,-0.0030856906,10.001454,-8.375647,-0.089249715
